Название,Цена,Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м.),Сотки,Дата,Просмотрено
Отдельный дом · 4 комнаты · 229.5 м² · 9.44 сот.,70000000,Алматы,,2006.0,4,229.5,9.44,24 нояб.,251
Отдельный дом · 4 комнаты · 143 м² · 6 сот.,83000000,Алматы,,2006.0,4,143.0,6,24 нояб.,8
Отдельный дом · 5 комнат · 100 м² · 6 сот.,16000000,Алматы,,2022.0,5,100.0,6,24 нояб.,2018
Отдельный дом · 4 комнаты · 110 м² · 6 сот.,60000000,Алматы,,2017.0,4,110.0,6,17 нояб.,260
Отдельный дом · 7 комнат · 112 м² · 8 сот.,60000000,Алматы,,,7,112.0,8,24 нояб.,2853
Отдельный дом · 3 комнаты · 60 м² · 1.9 сот.,29800000,Алматы,,1987.0,3,60.0,1.9,24 нояб.,2247
Отдельный дом · 4 комнаты · 90 м² · 13 сот.,22000000,Алматы,,2000.0,4,90.0,13,24 нояб.,4786
Отдельный дом · 7 комнат · 240 м² · 7.04 сот.,75000000,Алматы,,1990.0,7,240.0,7.04,24 нояб.,1849
Отдельный дом · 4 комнаты · 50 м² · 4 сот.,35000000,Алматы,,,4,50.0,4,24 нояб.,1252
Отдельный дом · 5 комнат · 90 м² · 4.83 сот.,40000000,Алматы,,1973.0,5,90.0,4.83,24 нояб.,1857
Часть дома · 1 комната · 26 м² · 1 сот.,10000000,Алматы,,1960.0,1,26.0,1,24 нояб.,1988
Часть дома · 4 комнаты · 70 м² · 7.6 сот.,57500000,Алматы,,1971.0,4,70.0,7.6,24 нояб.,1861
Дача · 1 комната · 10 м² · 5 сот.,5000000,Алматы,,,1,10.0,5,24 нояб.,14
Дача · 2 комнаты · 30 м² · 7 сот.,3500000,Алматы,,,2,30.0,7,24 нояб.,23
Часть дома · 3 комнаты · 81 м² · 2 сот.,50000000,Алматы,,1957.0,3,81.0,2,24 нояб.,5460
Отдельный дом · 6 комнат · 520 м² · 18.2 сот.,300000000,Алматы,,2018.0,6,520.0,18.2,24 нояб.,2058
Отдельный дом · 5 комнат · 240 м² · 9 сот.,145000000,Алматы,,2014.0,5,240.0,9,24 нояб.,1732
Дача · 2 комнаты · 37 м² · 10 сот.,12000000,Алматы,,,2,37.0,10,24 нояб.,816
Часть дома · 4 комнаты · 120 м² · 6.5 сот.,60000000,Алматы,,1999.0,4,120.0,6.5,24 нояб.,216
Отдельный дом · 3 комнаты · 83 м² · 5.5 сот.,38000000,Алматы,,1963.0,3,83.0,5.5,24 нояб.,3113
Отдельный дом · 7 комнат · 200 м² · 7 сот.,250000000,Алматы,,2000.0,7,200.0,7,24 нояб.,382
Часть дома · 3 комнаты · 110 м² · 3 сот.,60000000,Алматы,,2024.0,3,110.0,3,24 нояб.,214
Отдельный дом · 5 комнат · 155 м² · 7 сот.,31000000,Алматы,,2021.0,5,155.0,7,24 нояб.,1610
Отдельный дом · 4 комнаты · 215 м² · 4 сот.,57000000,Алматы,,1994.0,4,215.0,4,24 нояб.,3177
Отдельный дом · 5 комнат · 168 м² · 15.2 сот.,49990000,Алматы,,2012.0,5,168.0,15.2,24 нояб.,32672
Отдельный дом · 2 комнаты · 53 м² · 8 сот.,62000000,Алматы,,1998.0,2,53.0,8,24 нояб.,1475
Отдельный дом · 5 комнат · 180 м² · 6.5 сот.,45500000,Алматы,,2024.0,5,180.0,6.5,24 нояб.,4393
Отдельный дом · 4 комнаты · 56 м² · 17 сот.,78000000,Алматы,,1975.0,4,56.0,17,24 нояб.,315
Отдельный дом · 3 комнаты · 150 м² · 7 сот.,38000000,Алматы,,2005.0,3,150.0,7,24 нояб.,221
Часть дома · 3 комнаты · 52.6 м² · 2.2 сот.,27000000,Алматы,,1965.0,3,52.6,2.2,24 нояб.,1892
Отдельный дом · 5 комнат · 110 м² · 5 сот.,39000000,Алматы,,2022.0,5,110.0,5,24 нояб.,599
Часть дома · 4 комнаты · 80 м² · 3 сот.,50000000,Алматы,,,4,80.0,3,24 нояб.,253
Отдельный дом · 4 комнаты · 230 м² · 12 сот.,53000000,Алматы,,2020.0,4,230.0,12,24 нояб.,15
Отдельный дом · 8 комнат · 280 м² · 5 сот.,90000000,Алматы,,2016.0,8,280.0,5,24 нояб.,57
Часть дома · 3 комнаты · 60 м² · 5 сот.,28500000,Алматы,,2018.0,3,60.0,5,24 нояб.,964
Отдельный дом · 11 комнат · 500 м² · 8.8 сот.,550000000,Алматы,,2007.0,11,500.0,8.8,24 нояб.,2264
Отдельный дом · 3 комнаты · 70 м² · 5 сот.,40000000,Алматы,,1962.0,3,70.0,5,24 нояб.,7667
Отдельный дом · 8 комнат · 373 м² · 11 сот.,400000000,Алматы,,2009.0,8,373.0,11,24 нояб.,1483
Отдельный дом · 2 комнаты · 65 м² · 1.9 сот.,25000000,Алматы,,,2,65.0,1.9,24 нояб.,7635
Отдельный дом · 9 комнат · 546 м² · 15 сот.,700000000,Алматы,,2003.0,9,546.0,15,24 нояб.,1268
Отдельный дом · 4 комнаты · 90 м² · 12 сот.,150000000,Алматы,,2015.0,4,90.0,12,24 нояб.,1520
Отдельный дом · 6 комнат · 290 м² · 10 сот.,250000000,Алматы,,2020.0,6,290.0,10,24 нояб.,1247
Дача · 3 комнаты · 89 м² · 6 сот.,42000000,Алматы,,,3,89.0,6,24 нояб.,12694
Дача · 4 комнаты · 70 м² · 8 сот.,29000000,Алматы,,1997.0,4,70.0,8,24 нояб.,11715
Отдельный дом · 9 комнат · 250 м² · 17 сот.,125000000,Алматы,,1977.0,9,250.0,17,24 нояб.,1140
Отдельный дом · 3 комнаты · 70 м² · 5.5 сот.,40000000,Алматы,,,3,70.0,5.5,24 нояб.,4150
Отдельный дом · 7 комнат · 250 м² · 5 сот.,92000000,Алматы,,2000.0,7,250.0,5,24 нояб.,2896
Отдельный дом · 9 комнат · 270 м² · 13 сот.,120000000,Алматы,,2005.0,9,270.0,13,24 нояб.,8046
Дача · 1 комната · 30 м² · 10 сот.,8000000,Алматы,,1988.0,1,30.0,10,24 нояб.,4664
Часть дома · 2 комнаты · 65 м² · 3.4 сот.,55000000,Алматы,,1965.0,2,65.0,3.4,24 нояб.,124
Отдельный дом · 8 комнат · 380 м² · 10 сот.,220000000,Алматы,,2011.0,8,380.0,10,24 нояб.,3490
Отдельный дом · 3 комнаты · 119 м² · 4.2 сот.,85000000,Алматы,,1973.0,3,119.0,4.2,24 нояб.,6625
Отдельный дом · 3 комнаты · 97 м² · 3.44 сот.,85000000,Алматы,,2010.0,3,97.0,3.44,24 нояб.,134
Отдельный дом · 8 комнат · 650 м² · 60 сот.,399000000,Алматы,,2015.0,8,650.0,60,24 нояб.,317
Отдельный дом · 6 комнат · 190 м² · 6.7 сот.,105000000,Алматы,,2008.0,6,190.0,6.7,24 нояб.,4379
Отдельный дом · 6 комнат · 378 м² · 10 сот.,260000000,Алматы,,2005.0,6,378.0,10,24 нояб.,151
Отдельный дом · 5 комнат · 200 м² · 5.27 сот.,55900000,Алматы,,2023.0,5,200.0,5.27,24 нояб.,927
Отдельный дом · 8 комнат · 430.9 м² · 15.6 сот.,249000000,Алматы,,2022.0,8,430.9,15.6,24 нояб.,4331
Отдельный дом · 6 комнат · 378 м² · 6 сот.,178000000,Алматы,,2005.0,6,378.0,6,24 нояб.,135
Отдельный дом · 9 комнат · 346 м² · 7.4 сот.,180000000,Алматы,,2022.0,9,346.0,7.4,24 нояб.,4578
Отдельный дом · 9 комнат · 222 м² · 3 сот.,65000000,Алматы,,2011.0,9,222.0,3,24 нояб.,6929
Отдельный дом · 5 комнат · 133.1 м² · 8 сот.,23000000,Алматы,,2006.0,5,133.1,8,24 нояб.,26332
Отдельный дом · 3 комнаты · 120 м² · 6.5 сот.,150000000,Алматы,,2003.0,3,120.0,6.5,24 нояб.,523
Отдельный дом · 3 комнаты · 68 м² · 10 сот.,40000000,Алматы,,1968.0,3,68.0,10,24 нояб.,396
Отдельный дом · 4 комнаты · 120 м² · 7 сот.,23000000,Алматы,,,4,120.0,7,24 нояб.,4162
Отдельный дом · 6 комнат · 150 м² · 6.5 сот.,60000000,Алматы,,2020.0,6,150.0,6.5,24 нояб.,380
Отдельный дом · 6 комнат · 250 м² · 16 сот.,180000000,Алматы,,2018.0,6,250.0,16,24 нояб.,905
Отдельный дом · 4 комнаты · 128.7 м² · 4.9 сот.,60000000,Алматы,,2021.0,4,128.7,4.9,24 нояб.,1936
Отдельный дом · 5 комнат · 235 м² · 4 сот.,155000000,Алматы,,2023.0,5,235.0,4,24 нояб.,6111
Отдельный дом · 2 комнаты · 75 м² · 5 сот.,35000000,Алматы,,,2,75.0,5,24 нояб.,610
Отдельный дом · 5 комнат · 160 м² · 4.4 сот.,72000000,Алматы,,2022.0,5,160.0,4.4,24 нояб.,1997
Часть дома · 4 комнаты · 88 м² · 3.3 сот.,23000000,Алматы,,,4,88.0,3.3,24 нояб.,287
Отдельный дом · 5 комнат · 170 м² · 10 сот.,45000000,Алматы,,,5,170.0,10,24 нояб.,9149
Отдельный дом · 8 комнат · 383.6 м² · 8 сот.,172000000,Алматы,,2008.0,8,383.6,8,24 нояб.,584
Отдельный дом · 4 комнаты · 220 м² · 15 сот.,67000000,Алматы,,2008.0,4,220.0,15,24 нояб.,3871
Отдельный дом · 5 комнат · 150 м² · 13 сот.,106000000,Алматы,,2018.0,5,150.0,13,24 нояб.,292
Часть дома · 4 комнаты · 125 м² · 13.5 сот.,200000000,Алматы,,2006.0,4,125.0,13.5,24 нояб.,983
Часть дома · 2 комнаты · 25.5 м² · 2.5 сот.,25000000,Алматы,,,2,25.5,2.5,24 нояб.,100
Часть дома · 3 комнаты · 78 м² · 3 сот.,35000000,Алматы,,1985.0,3,78.0,3,24 нояб.,547
Отдельный дом · 3 комнаты · 60 м² · 2 сот.,25000000,Алматы,,1960.0,3,60.0,2,24 нояб.,513
Часть дома · 7 комнат · 152 м² · 3.2 сот.,120000000,Алматы,,2017.0,7,152.0,3.2,24 нояб.,841
Отдельный дом · 4 комнаты · 169 м² · 10 сот.,95000000,Алматы,,2023.0,4,169.0,10,24 нояб.,4573
Отдельный дом · 3 комнаты · 74 м² · 9.51 сот.,140000000,Алматы,,,3,74.0,9.51,24 нояб.,447
Отдельный дом · 5 комнат · 135 м² · 10 сот.,65000000,Алматы,,2010.0,5,135.0,10,24 нояб.,1135
Отдельный дом · 4 комнаты · 130 м² · 5 сот.,85000000,Алматы,,2020.0,4,130.0,5,24 нояб.,227
Отдельный дом · 3 комнаты · 50 м² · 4 сот.,17500000,Алматы,,,3,50.0,4,24 нояб.,3343
Отдельный дом · 5 комнат · 432 м² · 10 сот.,380000000,Алматы,,2011.0,5,432.0,10,24 нояб.,7595
Отдельный дом · 4 комнаты · 105 м² · 7.1 сот.,37000000,Алматы,,1972.0,4,105.0,7.1,24 нояб.,8046
Отдельный дом · 4 комнаты · 94 м² · 5.8 сот.,55000000,Алматы,,1959.0,4,94.0,5.8,24 нояб.,924
Отдельный дом · 5 комнат · 270 м² · 7 сот.,99000000,Алматы,,2015.0,5,270.0,7,24 нояб.,108
Отдельный дом · 3 комнаты · 46 м² · 12 сот.,35000000,Алматы,,2015.0,3,46.0,12,24 нояб.,15395
Отдельный дом · 3 комнаты · 154 м² · 6 сот.,60000000,Алматы,,2024.0,3,154.0,6,24 нояб.,351
Часть дома · 4 комнаты · 88 м² · 3.5 сот.,28000000,Алматы,,1982.0,4,88.0,3.5,24 нояб.,132
Часть дома · 1 комната · 22.5 м² · 1 сот.,14300000,Алматы,,1960.0,1,22.5,1,24 нояб.,3480
Часть дома · 4 комнаты · 100 м² · 2 сот.,27000000,Алматы,,1984.0,4,100.0,2,24 нояб.,4386
Отдельный дом · 5 комнат · 90 м² · 12 сот.,105000000,Алматы,,1995.0,5,90.0,12,24 нояб.,5834
Отдельный дом · 12 комнат · 720 м² · 10 сот.,550000000,Алматы,,2011.0,12,720.0,10,24 нояб.,4615
Отдельный дом · 6 комнат · 180 м² · 5 сот.,50000000,Алматы,,2019.0,6,180.0,5,24 нояб.,1165
Отдельный дом · 9 комнат · 585 м² · 7 сот.,245000000,Алматы,,2007.0,9,585.0,7,24 нояб.,1736
Отдельный дом · 5 комнат · 151.6 м² · 6.2 сот.,80000000,Алматы,,2011.0,5,151.6,6.2,24 нояб.,8344
Часть дома · 4 комнаты · 78.4 м² · 7 сот.,85000000,Алматы,,,4,78.4,7,24 нояб.,396
Отдельный дом · 5 комнат · 260 м² · 8.6 сот.,200000000,Алматы,,,5,260.0,8.6,24 нояб.,558
Отдельный дом · 5 комнат · 280 м² · 6 сот.,15000000,Алматы,,2018.0,5,280.0,6,24 нояб.,2480
Отдельный дом · 9 комнат · 300 м² · 4 сот.,135000000,Алматы,,2019.0,9,300.0,4,24 нояб.,110
Отдельный дом · 8 комнат · 420 м² · 8 сот.,190000000,Алматы,,2023.0,8,420.0,8,24 нояб.,251
Часть дома · 3 комнаты · 30 м² · 4 сот.,36500000,Алматы,,1959.0,3,30.0,4,24 нояб.,852
Отдельный дом · 4 комнаты · 140 м² · 10 сот.,112000000,Алматы,,2000.0,4,140.0,10,24 нояб.,5005
Отдельный дом · 4 комнаты · 70 м² · 5 сот.,65000000,Алматы,,1970.0,4,70.0,5,24 нояб.,2646
Отдельный дом · 6 комнат · 220 м² · 12 сот.,86000000,Алматы,,2014.0,6,220.0,12,24 нояб.,53
Отдельный дом · 5 комнат · 95 м² · 6 сот.,50000000,Алматы,,2000.0,5,95.0,6,24 нояб.,480
Отдельный дом · 3 комнаты · 150 м² · 12 сот.,55000000,Алматы,,,3,150.0,12,24 нояб.,105
Отдельный дом · 6 комнат · 220 м² · 8 сот.,190000000,Алматы,,2010.0,6,220.0,8,24 нояб.,261
Часть дома · 4 комнаты · 200 м² · 6 сот.,55000000,Алматы,,,4,200.0,6,24 нояб.,277
Отдельный дом · 6 комнат · 228 м² · 8 сот.,50000000,Алматы,,2004.0,6,228.0,8,24 нояб.,1409
Отдельный дом · 6 комнат · 150 м² · 6 сот.,90000000,Алматы,,2010.0,6,150.0,6,24 нояб.,1572
Отдельный дом · 5 комнат · 230.9 м² · 2.78 сот.,150000000,Алматы,,2011.0,5,230.9,2.78,24 нояб.,170
Часть дома · 3 комнаты · 56 м² · 2 сот.,18000000,Алматы,,,3,56.0,2,24 нояб.,7417
Отдельный дом · 6 комнат · 400 м² · 21 сот.,54000000,Алматы,,2016.0,6,400.0,21,24 нояб.,7025
Отдельный дом · 4 комнаты · 85 м² · 3.74 сот.,80000000,Алматы,,1999.0,4,85.0,3.74,24 нояб.,37
Отдельный дом · 9 комнат · 467.5 м² · 13 сот.,178900000,Алматы,,2005.0,9,467.5,13,24 нояб.,4162
Отдельный дом · 4 комнаты · 95 м² · 7 сот.,65000000,Алматы,,,4,95.0,7,24 нояб.,106
Отдельный дом · 3 комнаты · 60 м² · 4.3 сот.,44000000,Алматы,,2006.0,3,60.0,4.3,24 нояб.,2631
Часть дома · 3 комнаты · 80 м² · 5 сот.,42000000,Алматы,,1970.0,3,80.0,5,24 нояб.,1018
Отдельный дом · 8 комнат · 280 м² · 9 сот.,105000000,Алматы,,2021.0,8,280.0,9,24 нояб.,2487
Дача · 1 комната · 16 м² · 8 сот.,12000000,Алматы,,,1,16.0,8,24 нояб.,2336
Отдельный дом · 3 комнаты · 62.3 м² · 7 сот.,23000000,Алматы,,,3,62.3,7,24 нояб.,578
Отдельный дом · 4 комнаты · 98 м² · 10 сот.,67000000,Алматы,,2000.0,4,98.0,10,24 нояб.,682
Отдельный дом · 2 комнаты · 60 м² · 12 сот.,60000000,Алматы,,2015.0,2,60.0,12,24 нояб.,9051
Отдельный дом · 3 комнаты · 80 м² · 6 сот.,18000000,Алматы,,2016.0,3,80.0,6,24 нояб.,494
Отдельный дом · 3 комнаты · 100 м² · 6.7 сот.,54000000,Алматы,,1991.0,3,100.0,6.7,24 нояб.,1530
Отдельный дом · 4 комнаты · 137.6 м² · 5.51 сот.,63000000,Алматы,,,4,137.6,5.51,24 нояб.,1954
Отдельный дом · 5 комнат · 168 м² · 7 сот.,77000000,Алматы,,2023.0,5,168.0,7,24 нояб.,853
Отдельный дом · 5 комнат · 368 м² · 6 сот.,160000000,Алматы,,2000.0,5,368.0,6,24 нояб.,510
Отдельный дом · 9 комнат · 540 м² · 13.7 сот.,460000000,Алматы,,2007.0,9,540.0,13.7,24 нояб.,608
Отдельный дом · 4 комнаты · 143.8 м² · 7 сот.,67000000,Алматы,,2023.0,4,143.8,7,24 нояб.,740
Отдельный дом · 6 комнат · 520 м² · 15 сот.,180000000,Алматы,,,6,520.0,15,24 нояб.,70
Отдельный дом · 8 комнат · 220 м² · 8 сот.,95000000,Алматы,,2011.0,8,220.0,8,24 нояб.,350
Отдельный дом · 5 комнат · 185 м² · 10 сот.,55000000,Алматы,,2018.0,5,185.0,10,24 нояб.,10581
Отдельный дом · 4 комнаты · 250 м² · 8 сот.,170000000,Алматы,,2022.0,4,250.0,8,24 нояб.,593
Отдельный дом · 5 комнат · 240 м² · 3 сот.,200000000,Алматы,,2020.0,5,240.0,3,24 нояб.,49
Отдельный дом · 4 комнаты · 130 м² · 10.3 сот.,62000000,Алматы,,1997.0,4,130.0,10.3,24 нояб.,315
Отдельный дом · 5 комнат · 207 м² · 8 сот.,70000000,Алматы,,2018.0,5,207.0,8,24 нояб.,1576
Отдельный дом · 5 комнат · 180.8 м² · 3 сот.,47500000,Алматы,,2012.0,5,180.8,3,24 нояб.,3616
Отдельный дом · 10 комнат · 650 м² · 16.5 сот.,249000000,Алматы,,2007.0,10,650.0,16.5,24 нояб.,5254
Отдельный дом · 4 комнаты · 140 м² · 4.5 сот.,58000000,Алматы,,2024.0,4,140.0,4.5,24 нояб.,3888
Отдельный дом · 5 комнат · 170 м² · 9 сот.,61500000,Алматы,,2021.0,5,170.0,9,24 нояб.,5100
Отдельный дом · 3 комнаты · 105 м² · 7 сот.,47000000,Алматы,,,3,105.0,7,24 нояб.,4083
Отдельный дом · 5 комнат · 240 м² · 8 сот.,155000000,Алматы,,2018.0,5,240.0,8,24 нояб.,9513
Дача · 2 комнаты · 25 м² · 6 сот.,14000000,Алматы,,,2,25.0,6,24 нояб.,1884
Отдельный дом · 6 комнат · 320 м² · 8 сот.,80000000,Алматы,,2017.0,6,320.0,8,24 нояб.,12913
Часть дома · 3 комнаты · 63 м² · 4 сот.,33000000,Алматы,,,3,63.0,4,24 нояб.,1252
Отдельный дом · 6 комнат · 208 м² · 5.7 сот.,125000000,Алматы,,2015.0,6,208.0,5.7,24 нояб.,1941
Отдельный дом · 2 комнаты · 50 м² · 3.5 сот.,45000000,Алматы,,,2,50.0,3.5,24 нояб.,2846
Отдельный дом · 5 комнат · 181 м² · 12 сот.,125000000,Алматы,,1998.0,5,181.0,12,24 нояб.,490
Часть дома · 2 комнаты · 75 м² · 1 сот.,12000000,Алматы,,1985.0,2,75.0,1,24 нояб.,3618
Отдельный дом · 3 комнаты · 82 м² · 1.8 сот.,26000000,Алматы,,1970.0,3,82.0,1.8,24 нояб.,3494
Отдельный дом · 4 комнаты · 84.3 м² · 4.8 сот.,60000000,Алматы,,,4,84.3,4.8,24 нояб.,264
Отдельный дом · 8 комнат · 245 м² · 6 сот.,178000000,Алматы,,2016.0,8,245.0,6,24 нояб.,177
Отдельный дом · 5 комнат · 105 м² · 9 сот.,28000000,Алматы,,,5,105.0,9,24 нояб.,3698
Часть дома · 4 комнаты · 80 м² · 5.2 сот.,45000000,Алматы,,1980.0,4,80.0,5.2,24 нояб.,509
Отдельный дом · 5 комнат · 168 м² · 6 сот.,78000000,Алматы,,2014.0,5,168.0,6,24 нояб.,1977
Отдельный дом · 5 комнат · 104 м² · 2.2 сот.,45000000,Алматы,,1979.0,5,104.0,2.2,24 нояб.,1419
Отдельный дом · 4 комнаты · 111 м² · 6 сот.,58000000,Алматы,,2021.0,4,111.0,6,24 нояб.,290
Часть дома · 5 комнат · 330 м² · 10 сот.,175000000,Алматы,,2016.0,5,330.0,10,24 нояб.,1059
Отдельный дом · 6 комнат · 151.3 м² · 6 сот.,67000000,Алматы,,1957.0,6,151.3,6,24 нояб.,1187
Отдельный дом · 5 комнат · 210 м² · 3 сот.,90000000,Алматы,,,5,210.0,3,24 нояб.,686
Отдельный дом · 7 комнат · 380 м² · 7 сот.,165000000,Алматы,,2012.0,7,380.0,7,24 нояб.,1916
Часть дома · 4 комнаты · 100 м² · 7 сот.,27000000,Алматы,,,4,100.0,7,24 нояб.,99
Отдельный дом · 3 комнаты · 64 м² · 2 сот.,21000000,Алматы,,1980.0,3,64.0,2,24 нояб.,4262
Часть дома · 3 комнаты · 53 м² · 5.5 сот.,20000000,Алматы,,,3,53.0,5.5,24 нояб.,12708
Отдельный дом · 5 комнат · 180 м² · 7 сот.,40990000,Алматы,,2007.0,5,180.0,7,24 нояб.,21477
Отдельный дом · 4 комнаты · 132 м² · 7 сот.,83000000,Алматы,,2010.0,4,132.0,7,24 нояб.,1421
Отдельный дом · 3 комнаты · 50 м² · 9 сот.,13500000,Алматы,,2023.0,3,50.0,9,24 нояб.,4963
Отдельный дом · 4 комнаты · 110 м² · 7 сот.,50000000,Алматы,,2020.0,4,110.0,7,24 нояб.,2786
Часть дома · 3 комнаты · 59 м² · 9 сот.,40000000,Алматы,,,3,59.0,9,24 нояб.,1095
Отдельный дом · 5 комнат · 120 м² · 9 сот.,78000000,Алматы,,2006.0,5,120.0,9,24 нояб.,68
Отдельный дом · 7 комнат · 300 м² · 13 сот.,290000000,Алматы,,2016.0,7,300.0,13,24 нояб.,22444
Отдельный дом · 5 комнат · 231.9 м² · 5 сот.,125000000,Алматы,,2010.0,5,231.9,5,24 нояб.,145
Отдельный дом · 3 комнаты · 50 м² · 10 сот.,30000000,Алматы,,2022.0,3,50.0,10,24 нояб.,2629
Отдельный дом · 4 комнаты · 235 м² · 6 сот.,75000000,Алматы,,1995.0,4,235.0,6,24 нояб.,37902
Часть дома · 3 комнаты · 100 м² · 6 сот.,30000000,Алматы,,1972.0,3,100.0,6,24 нояб.,4877
Часть дома · 4 комнаты · 110 м² · 1.5 сот.,27000000,Алматы,,,4,110.0,1.5,24 нояб.,1353
Отдельный дом · 6 комнат · 160 м² · 8 сот.,62500000,Алматы,,2022.0,6,160.0,8,24 нояб.,1332
Отдельный дом · 7 комнат · 200 м² · 3.78 сот.,237816999,Алматы,,2017.0,7,200.0,3.78,24 нояб.,62
Отдельный дом · 10 комнат · 265 м² · 8 сот.,65000000,Алматы,,2010.0,10,265.0,8,24 нояб.,118
Отдельный дом · 6 комнат · 120 м² · 15 сот.,15000000,Алматы,,,6,120.0,15,24 нояб.,2813
Отдельный дом · 5 комнат · 120 м² · 4 сот.,44700000,Алматы,,,5,120.0,4,24 нояб.,13149
Часть дома · 4 комнаты · 75 м² · 2 сот.,35000000,Алматы,,2019.0,4,75.0,2,24 нояб.,3738
Отдельный дом · 2 комнаты · 70 м² · 6 сот.,22000000,Алматы,,2017.0,2,70.0,6,24 нояб.,4935
Часть дома · 4 комнаты · 72.3 м² · 3.4 сот.,38000000,Алматы,,1970.0,4,72.3,3.4,24 нояб.,2581
Отдельный дом · 7 комнат · 304.5 м² · 7 сот.,113000000,Алматы,,2014.0,7,304.5,7,23 нояб.,2621
Отдельный дом · 7 комнат · 230 м² · 1 сот.,110000000,Алматы,,2024.0,7,230.0,1,23 нояб.,1828
Отдельный дом · 4 комнаты · 100 м² · 4.7 сот.,60000000,Алматы,,1993.0,4,100.0,4.7,23 нояб.,4604
Отдельный дом · 3 комнаты · 56 м² · 15 сот.,97000000,Алматы,,2021.0,3,56.0,15,23 нояб.,7300
Отдельный дом · 5 комнат · 185 м² · 6 сот.,82000000,Алматы,Наурызбайский,2011.0,5,185.0,6,23 нояб.,438
Часть дома · 4 комнаты · 160 м² · 8 сот.,35000000,Алматы,,2024.0,4,160.0,8,23 нояб.,66
Отдельный дом · 6 комнат · 1204 м² · 41.8 сот.,2150000000,Алматы,,2015.0,6,1204.0,41.8,23 нояб.,660
Отдельный дом · 3 комнаты · 117 м² · 2.6 сот.,70000000,Алматы,,2003.0,3,117.0,2.6,23 нояб.,306
Часть дома · 3 комнаты · 68 м² · 3 сот.,23000000,Алматы,,1925.0,3,68.0,3,23 нояб.,306
Отдельный дом · 7 комнат · 405 м² · 10 сот.,765000000,Алматы,,,7,405.0,10,23 нояб.,662
Часть дома · 3 комнаты · 63 м² · 2 сот.,23500000,Алматы,,1970.0,3,63.0,2,23 нояб.,815
Отдельный дом · 5 комнат · 202 м² · 5.5 сот.,135000000,Алматы,,2024.0,5,202.0,5.5,23 нояб.,1714
Отдельный дом · 7 комнат · 390 м² · 6 сот.,405000000,Алматы,,2021.0,7,390.0,6,23 нояб.,655
Отдельный дом · 8 комнат · 500 м² · 8 сот.,470000000,Алматы,,2022.0,8,500.0,8,23 нояб.,255
Отдельный дом · 4 комнаты · 193 м² · 5.6 сот.,138000000,Алматы,,2011.0,4,193.0,5.6,23 нояб.,1889
Отдельный дом · 7 комнат · 415 м² · 23 сот.,280000000,Алматы,,2015.0,7,415.0,23,23 нояб.,686
Отдельный дом · 5 комнат · 220 м² · 4 сот.,160000000,Алматы,,,5,220.0,4,23 нояб.,2043
Отдельный дом · 5 комнат · 229 м² · 4 сот.,90000000,Алматы,,1996.0,5,229.0,4,23 нояб.,879
Отдельный дом · 5 комнат · 392 м² · 12 сот.,400000000,Алматы,,2015.0,5,392.0,12,23 нояб.,799
Отдельный дом · 4 комнаты · 138 м² · 4 сот.,60000000,Алматы,,2020.0,4,138.0,4,23 нояб.,8169
Отдельный дом · 3 комнаты · 111.4 м² · 4 сот.,39000000,Алматы,,2019.0,3,111.4,4,23 нояб.,675
Часть дома · 4 комнаты · 192 м² · 10 сот.,105000000,Алматы,,2018.0,4,192.0,10,23 нояб.,943
Отдельный дом · 7 комнат · 450 м² · 8 сот.,200000000,Алматы,,,7,450.0,8,23 нояб.,4051
Отдельный дом · 3 комнаты · 65 м² · 2 сот.,36500000,Алматы,Жетысуский,1970.0,3,65.0,2,23 нояб.,858
Отдельный дом · 5 комнат · 188 м² · 6 сот.,135000000,Алматы,Ауэзовский,2024.0,5,188.0,6,23 нояб.,1123
Отдельный дом · 5 комнат · 250 м² · 6 сот.,200000000,Алматы,,2013.0,5,250.0,6,23 нояб.,691
Отдельный дом · 6 комнат · 730 м² · 10 сот.,1537800000,Алматы,,2023.0,6,730.0,10,23 нояб.,3874
Часть дома · 4 комнаты · 45 м² · 4.5 сот.,20000000,Алматы,,1955.0,4,45.0,4.5,23 нояб.,902
Отдельный дом · 6 комнат · 255 м² · 5 сот.,85000000,Алматы,,2022.0,6,255.0,5,23 нояб.,2919
Отдельный дом · 8 комнат · 450 м² · 8 сот.,290000000,Алматы,,2017.0,8,450.0,8,23 нояб.,516
Дача · 3 комнаты · 78 м² · 7.5 сот.,10000000,Алматы,,2008.0,3,78.0,7.5,23 нояб.,30334
Отдельный дом · 5 комнат · 100.1 м² · 4 сот.,54000000,Алматы,,2003.0,5,100.1,4,23 нояб.,3028
Отдельный дом · 8 комнат · 240 м² · 2 сот.,35000000,Алматы,,2014.0,8,240.0,2,23 нояб.,2801
Отдельный дом · 5 комнат · 289 м² · 6 сот.,89000000,Алматы,,2012.0,5,289.0,6,23 нояб.,5162
Отдельный дом · 3 комнаты · 66.9 м² · 9 сот.,32000000,Алматы,Наурызбайский,2004.0,3,66.9,9,23 нояб.,337
Отдельный дом · 6 комнат · 87 м² · 7 сот.,30000000,Алматы,Жетысуский,,6,87.0,7,23 нояб.,1802
Часть дома · 4 комнаты · 117 м² · 2 сот.,29000000,Алматы,,,4,117.0,2,23 нояб.,14623
