Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
Свободное назначение · 480 м²,45000000,93750,Алматы,,2022.0,480.0,24 нояб.,1681
"Свободное назначение, офисы, общепит, бани, гостиницы и зоны отдыха, образование, развлечения · 240.5 м²",218000000,906445,Алматы,,1998.0,240.5,24 нояб.,561
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 739 м²",270000000,365359,Алматы,,2007.0,739.0,24 нояб.,2760
Образование · 970 м²,705000000,726804,Алматы,,2022.0,970.0,25 нояб.,331
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 123.9 м²",40000000,322841,Алматы,,2019.0,123.9,25 нояб.,1206
"Свободное назначение, магазины и бутики, салоны красоты, образование · 100 м²",65000000,650000,Алматы,,2024.0,100.0,24 нояб.,3999
Свободное назначение · 752.2 м²,1065576000,1416613,Алматы,,,752.2,24 нояб.,1739
Свободное назначение · 308.18 м²,110000000,356934,Алматы,,2024.0,308.18,24 нояб.,8854
Свободное назначение · 306 м²,130000000,424837,Алматы,,2003.0,306.0,24 нояб.,38
Склады · 35 м²,14000000,400000,Алматы,,2021.0,35.0,24 нояб.,36
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, развлечения · 9 м²",17500000,1944444,Алматы,Жетысуский,,9.0,25 нояб.,2764
"Свободное назначение, общепит · 137 м²",160000000,1167883,Алматы,,2022.0,137.0,24 нояб.,594
Магазины и бутики · 77 м²,17500000,227273,Алматы,,2003.0,77.0,24 нояб.,360
Свободное назначение · 1500 м²,800000000,533333,Алматы,,2023.0,1500.0,24 нояб.,383
"Свободное назначение, офисы, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 218.4 м²",165000000,755495,Алматы,,2001.0,218.4,25 нояб.,3786
Свободное назначение · 650 м²,249000000,383077,Алматы,,2007.0,650.0,25 нояб.,6486
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 417.8 м²",303000000,725227,Алматы,Бостандыкский,1975.0,417.8,25 нояб.,1768
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 270 м²",359100000,1330000,Алматы,Бостандыкский,2024.0,270.0,25 нояб.,3140
Офисы · 1300 м²,1000000000,769231,Алматы,,2007.0,1300.0,25 нояб.,882
Офисы · 10 м²,65000000,6500000,Алматы,Наурызбайский,,10.0,25 нояб.,21
Свободное назначение · 327 м²,510000000,1559633,Алматы,Алмалинский,1969.0,327.0,25 нояб.,1615
"Свободное назначение, офисы, азс, автосервисы и автомойки, общепит, развлечения · 280 м²",125000000,446429,Алматы,Жетысуский,2009.0,280.0,25 нояб.,807
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 56 м²",145200000,2592857,Алматы,Медеуский,,56.0,25 нояб.,663
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 26 м²",8500000,326923,Алматы,Жетысуский,2008.0,26.0,25 нояб.,304
Свободное назначение · 22 м²,13500000,613636,Алматы,Бостандыкский,,22.0,25 нояб.,182
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 90 м²",42500000,472222,Алматы,Наурызбайский,2020.0,90.0,25 нояб.,2724
"Офисы, магазины и бутики · 54 м²",89000000,1648148,Алматы,Медеуский,1977.0,54.0,25 нояб.,6117
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 181.2 м²",144960000,800000,Алматы,Бостандыкский,2022.0,181.2,25 нояб.,50
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 40 м²",16800000,420000,Алматы,,2013.0,40.0,25 нояб.,12
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 187 м²",282000000,1508021,Алматы,Бостандыкский,2024.0,187.0,25 нояб.,67
"Свободное назначение, офисы · 764.1 м²",500000000,654365,Алматы,,,764.1,25 нояб.,41
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование · 5908 м²",2954000000,500000,Алматы,Ауэзовский,2005.0,5908.0,25 нояб.,380
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 250 м²",380000000,1520000,Алматы,,2021.0,250.0,25 нояб.,398
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 240 м²",450000000,1875000,Алматы,,,240.0,25 нояб.,523
"Свободное назначение, офисы, образование · 100 м²",114000000,1140000,Алматы,,2006.0,100.0,25 нояб.,1121
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 396 м²",270000000,681818,Алматы,Медеуский,1967.0,396.0,25 нояб.,1136
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 79.5 м²",70000000,880503,Алматы,Алмалинский,,79.5,25 нояб.,63
Склады · 32 м²,300000000,9375000,Алматы,Жетысуский,2008.0,32.0,25 нояб.,928
Свободное назначение · 63 м²,82000000,1301587,Алматы,,1982.0,63.0,25 нояб.,14
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 41 м²",23500000,573171,Алматы,Ауэзовский,1988.0,41.0,25 нояб.,737
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 1173 м²",500000000,426257,Алматы,,2020.0,1173.0,25 нояб.,1168
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1585.1 м²",1100000000,693963,Алматы,Бостандыкский,2007.0,1585.1,25 нояб.,293
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 75 м²",63000000,840000,Алматы,Алмалинский,2022.0,75.0,25 нояб.,273
Магазины и бутики · 37 м²,29000000,783784,Алматы,,1962.0,37.0,25 нояб.,1212
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 181.2 м²",144960000,800000,Алматы,Бостандыкский,2021.0,181.2,25 нояб.,100
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 63.9 м²",42000000,657277,Алматы,Алатауский,2014.0,63.9,25 нояб.,380
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 507 м²",272000000,536489,Алматы,Алмалинский,2012.0,507.0,25 нояб.,150
Свободное назначение · 930 м²,526000000,565591,Алматы,,,930.0,25 нояб.,7836
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты · 260.49 м²",260000000,998119,Алматы,,2023.0,260.49,25 нояб.,4370
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 683.8 м²",340000000,497221,Алматы,Турксибский,2023.0,683.8,25 нояб.,1221
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 151 м²",30000000,198675,Алматы,,2021.0,151.0,25 нояб.,6400
Склады · 59.4 м²,21384000,360000,Алматы,Бостандыкский,2024.0,59.4,25 нояб.,1841
"Офисы, магазины и бутики, склады, салоны красоты, образование, развлечения · 475 м²",850000000,1789474,Алматы,Бостандыкский,2020.0,475.0,25 нояб.,128
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, образование, развлечения · 208 м²",210000000,1009615,Алматы,Жетысуский,1980.0,208.0,25 нояб.,144
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 988 м²",700000000,708502,Алматы,Наурызбайский,2020.0,988.0,25 нояб.,803
Свободное назначение · 383.6 м²,95000000,247654,Алматы,Ауэзовский,2004.0,383.6,25 нояб.,361
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 282 м²",250000000,886525,Алматы,,2015.0,282.0,25 нояб.,50
Магазины и бутики · 158 м²,180000000,1139241,Алматы,,,158.0,25 нояб.,8775
Свободное назначение · 114.8 м²,77000000,670732,Алматы,,2022.0,114.8,25 нояб.,5095
Общепит · 1100 м²,700000000,636364,Алматы,Бостандыкский,,1100.0,25 нояб.,8
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 155 м²",135000000,870968,Алматы,Ауэзовский,2015.0,155.0,25 нояб.,356
"Свободное назначение, офисы · 784 м²",1019000000,1299745,Алматы,Медеуский,2021.0,784.0,25 нояб.,35
"Свободное назначение, офисы, магазины и бутики, салоны красоты, образование, развлечения · 125 м²",336000000,2688000,Алматы,Медеуский,2020.0,125.0,25 нояб.,55
"Свободное назначение, офисы, магазины и бутики, медцентры и аптеки, образование · 372.5 м²",372000000,998658,Алматы,,1976.0,372.5,25 нояб.,631
Свободное назначение · 52.2 м²,60600000,1160920,Алматы,,1982.0,52.2,25 нояб.,20
"Офисы, образование · 377 м²",358000000,949602,Алматы,,1976.0,377.0,25 нояб.,523
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 108 м²",33000000,305556,Алматы,Турксибский,2023.0,108.0,25 нояб.,391
"Магазины и бутики, общепит · 670 м²",500000000,746269,Алматы,Алмалинский,1974.0,670.0,25 нояб.,1523
"Свободное назначение, магазины и бутики, салоны красоты · 175 м²",410000000,2342857,Алматы,Алмалинский,1960.0,175.0,25 нояб.,1364
Свободное назначение · 68.1 м²,90000000,1321586,Алматы,,1987.0,68.1,25 нояб.,348
Образование · 84 м²,90000000,1071429,Алматы,,2015.0,84.0,25 нояб.,21
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, образование, развлечения · 119 м²",39999999,336134,Алматы,,2012.0,119.0,25 нояб.,3346
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 260 м²",200000000,769231,Алматы,,2007.0,260.0,25 нояб.,2243
"Общепит, развлечения · 3000 м²",1450000000,483333,Алматы,,2014.0,3000.0,25 нояб.,352
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты · 63 м²",16000000,253968,Алматы,,2020.0,63.0,25 нояб.,695
"Свободное назначение, офисы · 132 м²",132000000,1000000,Алматы,,,132.0,25 нояб.,163
"Свободное назначение, офисы, магазины и бутики, общепит, образование, развлечения · 2040 м²",1100000000,539216,Алматы,,2023.0,2040.0,25 нояб.,88
Общепит · 2020 м²,1450000000,717822,Алматы,,2016.0,2020.0,25 нояб.,1391
"Свободное назначение, офисы, образование, развлечения · 414 м²",370000000,893720,Алматы,,2010.0,414.0,25 нояб.,219
"Общепит, развлечения · 534 м²",250000000,468165,Алматы,,2004.0,534.0,25 нояб.,783
"Свободное назначение, магазины и бутики, склады, салоны красоты, образование, развлечения · 41.6 м²",7500000,180288,Алматы,,2020.0,41.6,25 нояб.,324
"Свободное назначение, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1260 м²",740000000,587302,Алматы,,2019.0,1260.0,25 нояб.,562
"Свободное назначение, магазины и бутики, салоны красоты, образование · 102 м²",105000000,1029412,Алматы,,2021.0,102.0,25 нояб.,16
Офисы · 252 м²,95000000,376984,Алматы,,2005.0,252.0,25 нояб.,0
Магазины и бутики · 103.9 м²,51000000,490857,Алматы,,2007.0,103.9,25 нояб.,0
Свободное назначение · 566 м²,95000000,167845,Алматы,,2013.0,566.0,25 нояб.,864
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 261.4 м²",240000000,918133,Алматы,,,261.4,25 нояб.,791
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, образование, развлечения · 670 м²",264000000,394030,Алматы,,2008.0,670.0,25 нояб.,1191
Свободное назначение · 82 м²,55000000,670732,Алматы,,2023.0,82.0,25 нояб.,960
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 83.55 м²",60000000,718133,Алматы,,2024.0,83.55,25 нояб.,3917
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 250.7 м²",300000000,1196649,Алматы,,1989.0,250.7,25 нояб.,2
"Свободное назначение, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование · 55.7 м²",33500000,601436,Алматы,,2024.0,55.7,25 нояб.,3871
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 103.9 м²",110000000,1058710,Алматы,,,103.9,25 нояб.,0
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 275.8 м²",276000000,1000725,Алматы,,,275.8,25 нояб.,2
"Свободное назначение, магазины и бутики, общепит · 332 м²",285000000,858434,Алматы,,1974.0,332.0,25 нояб.,2452
Свободное назначение · 264.5 м²,241500000,913043,Алматы,,2008.0,264.5,25 нояб.,1441
Офисы · 172 м²,185000000,1075581,Алматы,,2012.0,172.0,25 нояб.,1267
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 87.9 м²",130000000,1478953,Алматы,,,87.9,25 нояб.,2
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 1588 м²",1340000000,843829,Алматы,,2017.0,1588.0,25 нояб.,2
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 70 м²",76666666,1095238,Алматы,,,70.0,25 нояб.,0
Склады · 4.9 м²,1300000,265306,Алматы,,2023.0,4.9,25 нояб.,0
"Свободное назначение, офисы, общепит, образование, развлечения · 364 м²",145000000,398352,Алматы,,,364.0,25 нояб.,2
Свободное назначение · 9199.6 м²,4800000000,521762,Алматы,,,9199.6,25 нояб.,0
"Магазины и бутики, общепит, салоны красоты, развлечения · 5300 м²",2650000000,500000,Алматы,,,5300.0,25 нояб.,489
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1583 м²",1340000000,846494,Алматы,,2017.0,1583.0,25 нояб.,122
Склады · 5 м²,1400000,280000,Алматы,,2020.0,5.0,25 нояб.,85
Общепит · 300 м²,350000000,1166667,Алматы,,1968.0,300.0,25 нояб.,737
Магазины и бутики · 44 м²,42000000,954545,Алматы,,1970.0,44.0,25 нояб.,528
Магазины и бутики · 60 м²,60000000,1000000,Алматы,,2018.0,60.0,25 нояб.,662
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 70 м²",76888888,1098413,Алматы,,,70.0,25 нояб.,0
"Свободное назначение, офисы · 373 м²",390000000,1045576,Алматы,,2010.0,373.0,25 нояб.,0
"Свободное назначение, офисы · 615 м²",595000000,967480,Алматы,,2010.0,615.0,25 нояб.,1
Магазины и бутики · 112 м²,75000000,669643,Алматы,,,112.0,25 нояб.,6948
Свободное назначение · 320 м²,200000000,625000,Алматы,,,320.0,25 нояб.,2692
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 40 м²",55000000,1375000,Алматы,,2021.0,40.0,25 нояб.,2674
Склады · 12 м²,2400000,200000,Алматы,,2017.0,12.0,25 нояб.,101
"Бани, гостиницы и зоны отдыха · 200 м²",60000000,300000,Алматы,,2020.0,200.0,25 нояб.,101
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 20 м²",12000000,600000,Алматы,,2010.0,20.0,25 нояб.,1226
"Свободное назначение, офисы, магазины и бутики, склады, медцентры и аптеки, образование, развлечения · 13 м²",9000000,692308,Алматы,,2010.0,13.0,25 нояб.,949
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 648.8 м²",280000000,431566,Алматы,,,648.8,25 нояб.,3
"Свободное назначение, офисы · 200 м²",220000000,1100000,Алматы,,2010.0,200.0,25 нояб.,1
"Офисы, склады · 18.5 м²",2600000,140541,Алматы,,2022.0,18.5,25 нояб.,442
"Азс, автосервисы и автомойки · 240 м²",155000000,645833,Алматы,,2010.0,240.0,25 нояб.,321
Магазины и бутики · 40 м²,13000000,325000,Алматы,,,40.0,25 нояб.,1339
Свободное назначение · 388 м²,776400000,2001031,Алматы,,,388.0,25 нояб.,2
Магазины и бутики · 36 м²,15000000,416667,Алматы,,,36.0,25 нояб.,4556
Офисы · 17 м²,10000000,588235,Алматы,,2004.0,17.0,25 нояб.,115
Медцентры и аптеки · 61.2 м²,100000000,1633987,Алматы,,1980.0,61.2,25 нояб.,145
"Магазины и бутики, склады, медцентры и аптеки, образование · 250 м²",2500000,10000,Алматы,,,250.0,25 нояб.,24
"Свободное назначение, магазины и бутики · 40 м²",5000000,125000,Алматы,,,40.0,25 нояб.,308
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 1583 м²",1400000000,884397,Алматы,,2017.0,1583.0,25 нояб.,47
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 125 м²",320000000,2560000,Алматы,,2022.0,125.0,25 нояб.,40
Магазины и бутики · 53.7 м²,47000000,875233,Алматы,,,53.7,25 нояб.,2073
Свободное назначение · 305.3 м²,199000000,651818,Алматы,,2012.0,305.3,25 нояб.,685
Свободное назначение · 424 м²,540000000,1273585,Алматы,,,424.0,25 нояб.,2
Свободное назначение · 164 м²,314999000,1920726,Алматы,,,164.0,25 нояб.,73
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 1500 м²",145000000,96667,Алматы,,2010.0,1500.0,25 нояб.,127
"Свободное назначение, склады, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения · 170 м²",30000000,176471,Алматы,,,170.0,25 нояб.,684
"Офисы, магазины и бутики, салоны красоты, образование, развлечения · 193 м²",79000000,409326,Алматы,,2006.0,193.0,25 нояб.,2
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 125 м²",336000000,2688000,Алматы,,2022.0,125.0,25 нояб.,49
Склады · 43 м²,4400000,102326,Алматы,,2019.0,43.0,25 нояб.,509
Медцентры и аптеки · 146 м²,133000000,910959,Алматы,,2020.0,146.0,25 нояб.,156
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 300 м²",70000000,233333,Алматы,,2015.0,300.0,25 нояб.,1539
Медцентры и аптеки · 290 м²,230000000,793103,Алматы,,2011.0,290.0,25 нояб.,290
Свободное назначение · 113 м²,62222000,550637,Алматы,,2019.0,113.0,25 нояб.,12020
Магазины и бутики · 900 м²,280000000,311111,Алматы,,2000.0,900.0,25 нояб.,3036
Свободное назначение · 226 м²,214599000,949553,Алматы,,,226.0,25 нояб.,41
Свободное назначение · 40 м²,55000000,1375000,Алматы,,,40.0,25 нояб.,0
Свободное назначение · 75 м²,110000000,1466667,Алматы,,,75.0,25 нояб.,0
"Свободное назначение, салоны красоты · 84 м²",90000000,1071429,Алматы,,2006.0,84.0,25 нояб.,0
"Свободное назначение, магазины и бутики, салоны красоты · 43 м²",12900000,300000,Алматы,,2024.0,43.0,25 нояб.,217
Офисы · 171 м²,75000000,438596,Алматы,,1953.0,171.0,25 нояб.,1414
"Свободное назначение, офисы, общепит, салоны красоты · 235 м²",145000000,617021,Алматы,,2018.0,235.0,25 нояб.,146
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 59 м²",69000000,1169492,Алматы,,1963.0,59.0,25 нояб.,689
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 436.5 м²",500000000,1145475,Алматы,,2008.0,436.5,25 нояб.,1827
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 470 м²",190000000,404255,Алматы,,2015.0,470.0,25 нояб.,117
"Свободное назначение, офисы, склады, салоны красоты, образование, развлечения · 69.4 м²",35000000,504323,Алматы,,,69.4,25 нояб.,4
Склады · 3 м²,2700000,900000,Алматы,,2022.0,3.0,25 нояб.,4
Общепит · 3000 м²,1450000000,483333,Алматы,,2014.0,3000.0,25 нояб.,0
Магазины и бутики · 55.5 м²,45000000,810811,Алматы,,2022.0,55.5,25 нояб.,155
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 920 м²",905000000,983696,Алматы,,2019.0,920.0,25 нояб.,1
"Свободное назначение, офисы, магазины и бутики, бани, гостиницы и зоны отдыха, медцентры и аптеки · 550 м²",200000000,363636,Алматы,,2021.0,550.0,25 нояб.,1
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки · 86.93 м²",115000000,1322903,Алматы,,,86.93,25 нояб.,1
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 400 м²",410000000,1025000,Алматы,,2021.0,400.0,25 нояб.,447
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 260.49 м²",298000000,1143998,Алматы,,,260.49,25 нояб.,403
Свободное назначение · 1660.9 м²,996300000,599856,Алматы,,2020.0,1660.9,25 нояб.,424
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 580 м²",880000000,1517241,Алматы,,2000.0,580.0,25 нояб.,466
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки · 2500 м²",5400000000,2160000,Алматы,,2010.0,2500.0,25 нояб.,1803
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки · 920 м²",950000000,1032609,Алматы,,2020.0,920.0,25 нояб.,1234
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 156.1 м²",142051000,910000,Алматы,,2023.0,156.1,25 нояб.,357
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 550 м²",700000000,1272727,Алматы,,,550.0,25 нояб.,240
"Свободное назначение, офисы, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование · 3368.9 м²",3500000000,1038915,Алматы,,1972.0,3368.9,25 нояб.,599
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 241.8 м²",507780000,2100000,Алматы,,,241.8,25 нояб.,23
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 232.5 м²",488250000,2100000,Алматы,,,232.5,25 нояб.,41
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, развлечения · 242.1 м²",508410000,2100000,Алматы,,,242.1,25 нояб.,53
"Свободное назначение, офисы, магазины и бутики, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 350 м²",340000000,971429,Алматы,,2017.0,350.0,25 нояб.,2
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование · 83.7 м²",110000000,1314217,Алматы,,2025.0,83.7,25 нояб.,1
Свободное назначение · 950 м²,475000000,500000,Алматы,,,950.0,25 нояб.,1
"Свободное назначение, офисы, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 97 м²",53000000,546392,Алматы,,2007.0,97.0,25 нояб.,6
"Свободное назначение, офисы, образование · 540 м²",325000000,601852,Алматы,,2016.0,540.0,25 нояб.,757
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 80 м²",70000000,875000,Алматы,,1966.0,80.0,25 нояб.,4
Свободное назначение · 182.6 м²,500000000,2738226,Алматы,,,182.6,25 нояб.,0
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, сельское хозяйство, медцентры и аптеки, образование · 388 м²",776400000,2001031,Алматы,,2024.0,388.0,25 нояб.,2
"Азс, автосервисы и автомойки, общепит · 400 м²",59500000,148750,Алматы,,2021.0,400.0,25 нояб.,5
"Свободное назначение, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, развлечения · 1860 м²",1650000000,887097,Алматы,,2015.0,1860.0,25 нояб.,719
Свободное назначение · 120 м²,20000000,166667,Алматы,,1995.0,120.0,25 нояб.,799
"Свободное назначение, офисы, магазины и бутики, склады, салоны красоты · 20 м²",11111111,555556,Алматы,,2016.0,20.0,25 нояб.,3635
"Свободное назначение, образование · 182.6 м²",500000000,2738226,Алматы,,2023.0,182.6,25 нояб.,2
"Свободное назначение, офисы · 19 м²",14000000,736842,Алматы,,2014.0,19.0,25 нояб.,182
Свободное назначение · 326 м²,604764990,1855107,Алматы,,,326.0,25 нояб.,2
Свободное назначение · 500 м²,600000000,1200000,Алматы,,2024.0,500.0,25 нояб.,92
Офисы · 27.5 м²,41250000,1500000,Алматы,,,27.5,25 нояб.,157
"Общепит, бани, гостиницы и зоны отдыха · 550 м²",250000000,454545,Алматы,,2004.0,550.0,25 нояб.,3
"Свободное назначение, офисы, склады, общепит · 212 м²",65000000,306604,Алматы,,1971.0,212.0,25 нояб.,289
Магазины и бутики · 1263 м²,610000000,482977,Алматы,,,1263.0,25 нояб.,3125
Свободное назначение · 180 м²,126000000,700000,Алматы,,,180.0,25 нояб.,5
Свободное назначение · 41 м²,33000000,804878,Алматы,,1980.0,41.0,25 нояб.,15
Свободное назначение · 26 м²,23000000,884615,Алматы,,2022.0,26.0,25 нояб.,51
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 62.6 м²",90000000,1437700,Алматы,,2023.0,62.6,25 нояб.,627
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, сельское хозяйство, бани, гостиницы и зоны отдыха, медцентры и аптеки · 300 м²",89000000,296667,Алматы,,,300.0,25 нояб.,1212
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 169 м²",278850000,1650000,Алматы,,2026.0,169.0,25 нояб.,3
"Свободное назначение, офисы, магазины и бутики, салоны красоты · 171.6 м²",126000000,734266,Алматы,,2007.0,171.6,25 нояб.,2
Офисы · 558.3 м²,325581712,583166,Алматы,,,558.3,25 нояб.,209
"Свободное назначение, офисы, магазины и бутики, образование · 154.7 м²",123760000,800000,Алматы,,2004.0,154.7,25 нояб.,1676
"Свободное назначение, офисы, склады, медцентры и аптеки, образование · 430 м²",130000000,302326,Алматы,,,430.0,25 нояб.,5
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 60 м²",75000000,1250000,Алматы,,1964.0,60.0,25 нояб.,8
"Офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование · 68.8 м²",62800000,912791,Алматы,,2022.0,68.8,25 нояб.,875
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 148.7 м²",151674000,1020000,Алматы,,2022.0,148.7,25 нояб.,648
