Название,Цена(тенге),Расположение,Район,Год постройки,Количество комнат,Площадь(кв.м),Этаж,Дата,Просмотрено
1-комнатная квартира · 48.1 м² · 13/17 этаж,34000000,Алматы,,2016.0,1,48.1,13.0,23 нояб.,1133
3-комнатная квартира · 140 м² · 3/15 этаж,130000000,Алматы,,2015.0,3,140.0,3.0,23 нояб.,1235
2-комнатная квартира · 76.8 м²,49920000,Алматы,,2025.0,2,76.8,,23 нояб.,6615
2-комнатная квартира · 81 м²,85050000,Алматы,,2025.0,2,81.0,,23 нояб.,6303
3-комнатная квартира · 94.72 м²,107791360,Алматы,,2024.0,3,94.72,,24 нояб.,2571
3-комнатная квартира · 82 м² · 4/5 этаж,79990000,Алматы,,1982.0,3,82.0,4.0,23 нояб.,787
2-комнатная квартира · 85 м² · 3/12 этаж,78000000,Алматы,,2016.0,2,85.0,3.0,23 нояб.,192
2-комнатная квартира · 49.1 м² · 16/18 этаж,42000000,Алматы,,2023.0,2,49.1,16.0,23 нояб.,1895
2-комнатная квартира · 47.76 м² · 10/19 этаж,46300000,Алматы,,2020.0,2,47.76,10.0,23 нояб.,320
2-комнатная квартира · 91 м² · 13/15 этаж,44900000,Алматы,,2007.0,2,91.0,13.0,23 нояб.,322
2-комнатная квартира · 45.8 м² · 10/12 этаж,51000000,Алматы,,2023.0,2,45.8,10.0,23 нояб.,388
4-комнатная квартира · 155 м² · 2/3 этаж,240000000,Алматы,,2022.0,4,155.0,2.0,23 нояб.,701
1-комнатная квартира · 37.25 м² · 7/12 этаж,31700000,Алматы,,2024.0,1,37.25,7.0,23 нояб.,3186
2-комнатная квартира · 76 м² · 1/10 этаж,32000000,Алматы,,2024.0,2,76.0,1.0,23 нояб.,162
2-комнатная квартира · 54.18 м²,34675200,Алматы,,2024.0,2,54.18,,24 нояб.,7769
2-комнатная квартира · 46.4 м²,37816000,Алматы,,2025.0,2,46.4,,23 нояб.,99999+
1-комнатная квартира · 31.29 м²,12171810,Алматы,,2024.0,1,31.29,,24 нояб.,13759
1-комнатная квартира · 41.4 м²,33741000,Алматы,,2025.0,1,41.4,,24 нояб.,70340
4-комнатная квартира · 161 м² · 5/6 этаж,120000000,Алматы,,1992.0,4,161.0,5.0,23 нояб.,541
3-комнатная квартира · 106 м² · 5/8 этаж,85000000,Алматы,,2019.0,3,106.0,5.0,23 нояб.,727
1-комнатная квартира · 43.2 м² · 2/10 этаж,30000000,Алматы,,2014.0,1,43.2,2.0,23 нояб.,2379
2-комнатная квартира · 47 м² · 3/9 этаж,25000000,Алматы,,2010.0,2,47.0,3.0,23 нояб.,532
3-комнатная квартира · 77.2 м² · 1/5 этаж,44000000,Алматы,,2011.0,3,77.2,1.0,23 нояб.,259
3-комнатная квартира · 76 м² · 2/8 этаж,50000000,Алматы,,2005.0,3,76.0,2.0,23 нояб.,284
3-комнатная квартира · 58 м² · 1/4 этаж,32000000,Алматы,,1960.0,3,58.0,1.0,23 нояб.,600
1-комнатная квартира · 40 м² · 12/12 этаж,23000000,Алматы,,2024.0,1,40.0,12.0,23 нояб.,213
2-комнатная квартира · 43 м² · 3/6 этаж,28000000,Алматы,,1992.0,2,43.0,3.0,23 нояб.,824
1-комнатная квартира · 40 м² · 7/9 этаж,25000000,Алматы,,1984.0,1,40.0,7.0,23 нояб.,477
2-комнатная квартира · 78.6 м²,44016000,Алматы,,2023.0,2,78.6,,23 нояб.,11780
3-комнатная квартира · 90 м² · 1/9 этаж,42000000,Алматы,,2010.0,3,90.0,1.0,23 нояб.,524
1-комнатная квартира · 39.3 м² · 8/9 этаж,35000000,Алматы,,1982.0,1,39.3,8.0,23 нояб.,1362
4-комнатная квартира · 150 м² · 7/7 этаж,130000000,Алматы,,2007.0,4,150.0,7.0,23 нояб.,1359
4-комнатная квартира · 108.38 м²,125287280,Алматы,,2024.0,4,108.38,,24 нояб.,3208
4-комнатная квартира · 155 м² · 2/6 этаж,270000000,Алматы,,2016.0,4,155.0,2.0,23 нояб.,1847
2-комнатная квартира · 66 м² · 15/16 этаж,63000000,Алматы,,2020.0,2,66.0,15.0,23 нояб.,3469
3-комнатная квартира · 92 м² · 7/12 этаж,55000000,Алматы,,2016.0,3,92.0,7.0,23 нояб.,552
2-комнатная квартира · 78 м² · 9/12 этаж,83000000,Алматы,,2014.0,2,78.0,9.0,23 нояб.,435
2-комнатная квартира · 44.7 м² · 3/5 этаж,27470000,Алматы,,1978.0,2,44.7,3.0,23 нояб.,4987
2-комнатная квартира · 58.6 м² · 6/12 этаж,52600000,Алматы,,2018.0,2,58.6,6.0,23 нояб.,2684
3-комнатная квартира · 83 м² · 4/9 этаж,50000000,Алматы,,2015.0,3,83.0,4.0,23 нояб.,201
1-комнатная квартира · 41 м² · 3/5 этаж,23500000,Алматы,,2016.0,1,41.0,3.0,23 нояб.,824
2-комнатная квартира · 40 м² · 3/9 этаж,25500000,Алматы,,2019.0,2,40.0,3.0,23 нояб.,7934
2-комнатная квартира · 71.5 м² · 12/17 этаж,46900000,Алматы,,2023.0,2,71.5,12.0,23 нояб.,644
4-комнатная квартира · 100 м² · 5/9 этаж,61000000,Алматы,,1989.0,4,100.0,5.0,23 нояб.,408
2-комнатная квартира · 50 м² · 11/25 этаж,41490000,Алматы,,2014.0,2,50.0,11.0,23 нояб.,338
1-комнатная квартира · 44 м² · 11/13 этаж,33500000,Алматы,,2020.0,1,44.0,11.0,23 нояб.,267
3-комнатная квартира · 78 м² · 2/6 этаж,39000000,Алматы,,2010.0,3,78.0,2.0,23 нояб.,2929
1-комнатная квартира · 41.16 м² · 1/6 этаж,19000000,Алматы,,2018.0,1,41.16,1.0,23 нояб.,4639
3-комнатная квартира · 100 м² · 2/11 этаж,145000000,Алматы,,2019.0,3,100.0,2.0,23 нояб.,10958
2-комнатная квартира · 45 м² · 9/9 этаж,30000000,Алматы,,2022.0,2,45.0,9.0,23 нояб.,970
2-комнатная квартира · 43 м² · 4/4 этаж,26500000,Алматы,,1963.0,2,43.0,4.0,23 нояб.,326
3-комнатная квартира · 79.84 м²,29000000,Алматы,,2024.0,3,79.84,,23 нояб.,7192
3-комнатная квартира · 128.8 м²,130088000,Алматы,,2025.0,3,128.8,,23 нояб.,5256
3-комнатная квартира · 96 м²,91200000,Алматы,,2022.0,3,96.0,,23 нояб.,16367
2-комнатная квартира · 64.5 м²,26445500,Алматы,,2023.0,2,64.5,,23 нояб.,99999+
3-комнатная квартира · 68 м² · 12/12 этаж,32000000,Алматы,,2024.0,3,68.0,12.0,23 нояб.,1369
2-комнатная квартира · 45.7 м² · 4/4 этаж,27000000,Алматы,,1969.0,2,45.7,4.0,23 нояб.,862
1-комнатная квартира · 46 м² · 7/7 этаж,18600000,Алматы,,2014.0,1,46.0,7.0,23 нояб.,600
2-комнатная квартира · 45 м² · 3/5 этаж,39000000,Алматы,,2014.0,2,45.0,3.0,23 нояб.,2032
3-комнатная квартира · 92.3 м² · 6/11 этаж,60000000,Алматы,,2011.0,3,92.3,6.0,23 нояб.,53
3-комнатная квартира · 93.7 м²,61842000,Алматы,,2025.0,3,93.7,,23 нояб.,3841
4-комнатная квартира · 94.12 м²,48942400,Алматы,,2024.0,4,94.12,,24 нояб.,12198
2-комнатная квартира · 69.65 м²,25000000,Алматы,,2024.0,2,69.65,,23 нояб.,5888
3-комнатная квартира · 84.8 м²,64448000,Алматы,,2025.0,3,84.8,,23 нояб.,67333
2-комнатная квартира · 43 м² · 3/4 этаж,34500000,Алматы,,1971.0,2,43.0,3.0,23 нояб.,6311
3-комнатная квартира · 85 м² · 3/12 этаж,69000000,Алматы,,2014.0,3,85.0,3.0,23 нояб.,25506
3-комнатная квартира · 58.3 м² · 4/9 этаж,45000000,Алматы,,2024.0,3,58.3,4.0,23 нояб.,1593
2-комнатная квартира · 54 м² · 2/10 этаж,50500000,Алматы,,2019.0,2,54.0,2.0,23 нояб.,3365
3-комнатная квартира · 66.5 м² · 4/5 этаж,36500000,Алматы,,1984.0,3,66.5,4.0,23 нояб.,2358
3-комнатная квартира · 117 м² · 6/11 этаж,64000000,Алматы,,2011.0,3,117.0,6.0,23 нояб.,197
2-комнатная квартира · 86 м² · 10/15 этаж,55000000,Алматы,,2010.0,2,86.0,10.0,23 нояб.,1559
1-комнатная квартира · 33.4 м² · 1/4 этаж,27500000,Алматы,,1976.0,1,33.4,1.0,23 нояб.,2303
3-комнатная квартира · 63 м² · 5/5 этаж,42300000,Алматы,,1977.0,3,63.0,5.0,23 нояб.,2835
5-комнатная квартира · 230.94 м²,392598000,Алматы,,2026.0,5,230.94,,23 нояб.,1743
3-комнатная квартира · 116.82 м²,156538800,Алматы,,2025.0,3,116.82,,24 нояб.,860
3-комнатная квартира · 76 м² · 8/12 этаж,56000000,Алматы,,2021.0,3,76.0,8.0,23 нояб.,59
3-комнатная квартира · 115.5 м² · 12/12 этаж,110000000,Алматы,,2019.0,3,115.5,12.0,23 нояб.,3
3-комнатная квартира · 73.3 м² · 9/9 этаж,42500000,Алматы,Алмалинский,1989.0,3,73.3,9.0,23 нояб.,186
4-комнатная квартира · 93.3 м² · 8/9 этаж,55000000,Алматы,,1990.0,4,93.3,8.0,23 нояб.,956
3-комнатная квартира · 74 м² · 1/5 этаж,47000000,Алматы,,1996.0,3,74.0,1.0,23 нояб.,105
1-комнатная квартира · 43 м² · 13/20 этаж,48000000,Алматы,,2023.0,1,43.0,13.0,23 нояб.,421
1-комнатная квартира · 45 м² · 6/10 этаж,34500000,Алматы,,2017.0,1,45.0,6.0,23 нояб.,399
1-комнатная квартира · 43 м² · 11/20 этаж,48000000,Алматы,,2023.0,1,43.0,11.0,23 нояб.,456
2-комнатная квартира · 36.2 м² · 1/12 этаж,25000000,Алматы,,2019.0,2,36.2,1.0,23 нояб.,8
4-комнатная квартира · 88 м² · 4/5 этаж,73000000,Алматы,,1995.0,4,88.0,4.0,23 нояб.,1800
1-комнатная квартира · 37.2 м² · 2/16 этаж,30000000,Алматы,,2019.0,1,37.2,2.0,23 нояб.,957
3-комнатная квартира · 70.9 м² · 16/17 этаж,65000000,Алматы,,2022.0,3,70.9,16.0,23 нояб.,129
3-комнатная квартира · 65.3 м² · 10/12 этаж,38500000,Алматы,Ауэзовский,1991.0,3,65.3,10.0,23 нояб.,87
3-комнатная квартира · 93.6 м²,52416000,Алматы,,2023.0,3,93.6,,23 нояб.,26720
3-комнатная квартира · 64 м² · 6/10 этаж,44000000,Алматы,,2022.0,3,64.0,6.0,23 нояб.,1
2-комнатная квартира · 65 м² · 9/12 этаж,58000000,Алматы,,2018.0,2,65.0,9.0,23 нояб.,208
1-комнатная квартира · 31.21 м²,13293000,Коксай (Путь Ильича),,2025.0,1,31.21,,24 нояб.,9173
4-комнатная квартира · 147.9 м²,119207400,Алматы,,2025.0,4,147.9,,23 нояб.,3292
3-комнатная квартира · 65.2 м²,39446000,Алматы,Жетысуский,2025.0,3,65.2,,24 нояб.,14906
2-комнатная квартира · 52 м² · 4/10 этаж,43000000,Алматы,,2011.0,2,52.0,4.0,23 нояб.,3906
1-комнатная квартира · 30 м² · 7/7 этаж,15550000,Алматы,,2022.0,1,30.0,7.0,23 нояб.,460
2-комнатная квартира · 46 м² · 1/2 этаж,24000000,Алматы,,1957.0,2,46.0,1.0,23 нояб.,2060
2-комнатная квартира · 53 м² · 3/3 этаж,24000000,Алматы,,1980.0,2,53.0,3.0,23 нояб.,1034
4-комнатная квартира · 320 м² · 19/22 этаж,690000002,Алматы,,2015.0,4,320.0,19.0,23 нояб.,3335
2-комнатная квартира · 78 м² · 7/10 этаж,78500000,Алматы,,2019.0,2,78.0,7.0,23 нояб.,4159
3-комнатная квартира · 81 м² · 3/3 этаж,62000000,Алматы,,2018.0,3,81.0,3.0,23 нояб.,1100
2-комнатная квартира · 93 м² · 11/16 этаж,69800000,Алматы,,2009.0,2,93.0,11.0,23 нояб.,116
4-комнатная квартира · 104.7 м² · 4/5 этаж,85000000,Алматы,,1989.0,4,104.7,4.0,23 нояб.,680
3-комнатная квартира · 62.67 м²,27825480,Алматы,,2025.0,3,62.67,,23 нояб.,27397
3-комнатная квартира · 121.1 м²,90825000,Алматы,,2024.0,3,121.1,,24 нояб.,8880
2-комнатная квартира · 61.2 м² · 8/12 этаж,57000000,Алматы,,2018.0,2,61.2,8.0,23 нояб.,521
3-комнатная квартира · 105 м² · 11/16 этаж,85000000,Алматы,,2020.0,3,105.0,11.0,23 нояб.,109
3-комнатная квартира · 75 м² · 3/9 этаж,55000000,Алматы,,2005.0,3,75.0,3.0,23 нояб.,1167
2-комнатная квартира · 68.1 м² · 3/10 этаж,34500000,Алматы,,2011.0,2,68.1,3.0,23 нояб.,543
3-комнатная квартира · 57.8 м² · 2/4 этаж,55000000,Алматы,,1961.0,3,57.8,2.0,23 нояб.,910
2-комнатная квартира · 59.4 м² · 3/9 этаж,33000000,Алматы,,2020.0,2,59.4,3.0,23 нояб.,909
2-комнатная квартира · 50 м² · 7/19 этаж,70000000,Алматы,,2020.0,2,50.0,7.0,23 нояб.,1542
2-комнатная квартира · 70 м² · 5/14 этаж,56000000,Алматы,,2006.0,2,70.0,5.0,23 нояб.,458
3-комнатная квартира · 95 м² · 14/22 этаж,68000000,Алматы,,2012.0,3,95.0,14.0,23 нояб.,465
3-комнатная квартира · 81 м²,49000000,Алматы,Алмалинский,2025.0,3,81.0,,24 нояб.,12607
3-комнатная квартира · 125.74 м²,162833300,Алматы,,2025.0,3,125.74,,23 нояб.,1227
2-комнатная квартира · 91.28 м²,123228000,Алматы,,2025.0,2,91.28,,23 нояб.,945
3-комнатная квартира · 122.82 м²,227217000,Алматы,,2026.0,3,122.82,,23 нояб.,1410
3-комнатная квартира · 92.82 м²,49844340,Алматы,,2026.0,3,92.82,,24 нояб.,17321
4-комнатная квартира · 113.44 м²,47077600,Алматы,,2025.0,4,113.44,,24 нояб.,7084
3-комнатная квартира · 92 м² · 5/6 этаж,55000000,Алматы,,1981.0,3,92.0,5.0,23 нояб.,4027
3-комнатная квартира · 74 м² · 11/12 этаж,49000000,Алматы,,2024.0,3,74.0,11.0,23 нояб.,734
1-комнатная квартира · 49.9 м² · 3/5 этаж,23000000,Алматы,,2023.0,1,49.9,3.0,23 нояб.,1935
3-комнатная квартира · 126 м² · 5/18 этаж,78000000,Алматы,,2011.0,3,126.0,5.0,23 нояб.,2631
2-комнатная квартира · 46 м² · 3/3 этаж,70000000,Алматы,,2023.0,2,46.0,3.0,23 нояб.,5733
3-комнатная квартира · 69.3 м² · 5/5 этаж,50000000,Алматы,,1989.0,3,69.3,5.0,23 нояб.,678
3-комнатная квартира · 65 м² · 11/14 этаж,57000000,Алматы,,1994.0,3,65.0,11.0,23 нояб.,1704
2-комнатная квартира · 51.6 м² · 5/5 этаж,31500000,Алматы,,1987.0,2,51.6,5.0,23 нояб.,1689
3-комнатная квартира · 46 м² · 1/3 этаж,36000000,Алматы,,2021.0,3,46.0,1.0,23 нояб.,343
1-комнатная квартира · 42 м² · 3/6 этаж,25000000,Алматы,,2023.0,1,42.0,3.0,23 нояб.,3632
2-комнатная квартира · 43 м² · 2/4 этаж,24999000,Алматы,,1968.0,2,43.0,2.0,23 нояб.,4241
2-комнатная квартира · 76.17 м²,70533420,Алматы,,2025.0,2,76.17,,23 нояб.,3022
2-комнатная квартира · 51.41 м²,31103050,Алматы,,2025.0,2,51.41,,23 нояб.,3987
2-комнатная квартира · 177.6 м²,195360000,Алматы,,2025.0,2,177.6,,24 нояб.,4537
3-комнатная квартира · 145.2 м²,137940000,Алматы,,2024.0,3,145.2,,23 нояб.,8036
4-комнатная квартира · 136.94 м²,151729520,Алматы,,2024.0,4,136.94,,23 нояб.,3072
3-комнатная квартира · 70 м² · 1/3 этаж,60000000,Алматы,,2019.0,3,70.0,1.0,23 нояб.,1066
4-комнатная квартира · 112 м² · 3/9 этаж,155000000,Алматы,,1977.0,4,112.0,3.0,23 нояб.,7909
2-комнатная квартира · 107 м² · 4/9 этаж,77000000,Алматы,,2012.0,2,107.0,4.0,23 нояб.,1545
2-комнатная квартира · 46 м² · 11/12 этаж,53000000,Алматы,,2023.0,2,46.0,11.0,23 нояб.,1284
3-комнатная квартира · 76 м² · 9/16 этаж,57000000,Алматы,,2024.0,3,76.0,9.0,23 нояб.,4315
3-комнатная квартира · 86.7 м² · 13/13 этаж,95370000,Алматы,,2023.0,3,86.7,13.0,23 нояб.,3599
6-комнатная квартира · 214 м² · 5/5 этаж,150000000,Алматы,,2003.0,6,214.0,5.0,23 нояб.,2371
1-комнатная квартира · 35 м² · 1/5 этаж,30000000,Алматы,,1965.0,1,35.0,1.0,23 нояб.,207
2-комнатная квартира · 98 м²,54880000,Алматы,,2023.0,2,98.0,,23 нояб.,9581
1-комнатная квартира · 41.5 м² · 5/12 этаж,28000000,Алматы,Ауэзовский,2024.0,1,41.5,5.0,23 нояб.,281
4-комнатная квартира · 108 м² · 2/3 этаж,75000000,Алматы,,2024.0,4,108.0,2.0,23 нояб.,140
1-комнатная квартира · 33.4 м² · 4/9 этаж,22500000,Алматы,,2022.0,1,33.4,4.0,23 нояб.,283
4-комнатная квартира · 85.7 м² · 5/5 этаж,63900000,Алматы,,1983.0,4,85.7,5.0,23 нояб.,137
1-комнатная квартира · 22.8 м² · 2/2 этаж,13000000,Алматы,,2017.0,1,22.8,2.0,23 нояб.,1
4-комнатная квартира · 82 м² · 5/5 этаж,46000000,Алматы,,1994.0,4,82.0,5.0,23 нояб.,89
1-комнатная квартира · 52 м² · 9/9 этаж,26900000,Алматы,,2006.0,1,52.0,9.0,23 нояб.,79
2-комнатная квартира · 43 м² · 5/9 этаж,24500000,Алматы,,2023.0,2,43.0,5.0,23 нояб.,139
1-комнатная квартира · 38.8 м² · 2/9 этаж,27000000,Алматы,Медеуский,2020.0,1,38.8,2.0,23 нояб.,186
3-комнатная квартира · 85.2 м² · 10/10 этаж,55000000,Алматы,,2013.0,3,85.2,10.0,23 нояб.,280
1-комнатная квартира · 39.6 м² · 4/12 этаж,25000000,Алматы,,2024.0,1,39.6,4.0,23 нояб.,140
2-комнатная квартира · 79.93 м²,135881000,Алматы,,2024.0,2,79.93,,23 нояб.,2958
3-комнатная квартира · 36 м² · 3/3 этаж,19000000,Алматы,,2010.0,3,36.0,3.0,23 нояб.,3
2-комнатная квартира · 71.5 м² · 4/10 этаж,42500000,Алматы,,2022.0,2,71.5,4.0,23 нояб.,293
2-комнатная квартира · 73.3 м²,51310000,Алматы,,2024.0,2,73.3,,23 нояб.,3012
3-комнатная квартира · 65 м² · 3/10 этаж,70000000,Алматы,,2019.0,3,65.0,3.0,23 нояб.,465
3-комнатная квартира · 81 м² · 8/16 этаж,44000000,Алматы,,2016.0,3,81.0,8.0,23 нояб.,545
2-комнатная квартира · 89 м² · 15/15 этаж,90000000,Алматы,Алмалинский,2019.0,2,89.0,15.0,23 нояб.,689
3-комнатная квартира · 58.3 м² · 3/4 этаж,32000000,Алматы,,1972.0,3,58.3,3.0,23 нояб.,3088
2-комнатная квартира · 55.8 м² · 2/6 этаж,55000000,Алматы,,2024.0,2,55.8,2.0,23 нояб.,1125
2-комнатная квартира · 43 м² · 3/5 этаж,29000000,Алматы,,1982.0,2,43.0,3.0,23 нояб.,452
2-комнатная квартира · 85 м² · 30/31 этаж,102000000,Алматы,,2020.0,2,85.0,30.0,23 нояб.,1082
3-комнатная квартира · 66.3 м² · 1/5 этаж,41000000,Алматы,,1988.0,3,66.3,1.0,23 нояб.,175
2-комнатная квартира · 55 м² · 11/12 этаж,32500000,Алматы,,2022.0,2,55.0,11.0,23 нояб.,160
2-комнатная квартира · 64 м² · 9/12 этаж,58000000,Алматы,,2023.0,2,64.0,9.0,23 нояб.,64
1-комнатная квартира · 31 м² · 1/5 этаж,26500000,Алматы,,1975.0,1,31.0,1.0,23 нояб.,143
3-комнатная квартира · 99.2 м² · 5/10 этаж,49000000,Алматы,,2020.0,3,99.2,5.0,23 нояб.,96
2-комнатная квартира · 57.14 м² · 4/9 этаж,26500000,Алматы,Турксибский,2024.0,2,57.14,4.0,23 нояб.,231
2-комнатная квартира · 30 м² · 1/2 этаж,15000000,Алматы,Турксибский,1972.0,2,30.0,1.0,23 нояб.,253
1-комнатная квартира · 38.3 м² · 1/13 этаж,30500000,Алматы,,2024.0,1,38.3,1.0,23 нояб.,218
1-комнатная квартира · 43.6 м² · 4/7 этаж,25500000,Алматы,,2023.0,1,43.6,4.0,23 нояб.,187
2-комнатная квартира · 67.2 м² · 3/4 этаж,47000000,Алматы,,2023.0,2,67.2,3.0,23 нояб.,269
2-комнатная квартира · 80 м² · 5/19 этаж,70000000,Алматы,,2007.0,2,80.0,5.0,23 нояб.,46
2-комнатная квартира · 52.6 м² · 9/17 этаж,45500000,Алматы,,2023.0,2,52.6,9.0,23 нояб.,196
2-комнатная квартира · 69 м² · 10/13 этаж,34000000,Алматы,,2015.0,2,69.0,10.0,23 нояб.,234
1-комнатная квартира · 43 м² · 10/12 этаж,37500000,Алматы,,2023.0,1,43.0,10.0,23 нояб.,255
3-комнатная квартира · 68 м² · 4/5 этаж,80000000,Алматы,Медеуский,1985.0,3,68.0,4.0,23 нояб.,192
3-комнатная квартира · 87 м² · 9/12 этаж,62000000,Алматы,Медеуский,2021.0,3,87.0,9.0,23 нояб.,148
2-комнатная квартира · 55.7 м² · 5/9 этаж,31500000,Алматы,,2016.0,2,55.7,5.0,23 нояб.,208
1-комнатная квартира · 21 м² · 5/5 этаж,11900000,Алматы,,1983.0,1,21.0,5.0,23 нояб.,15
3-комнатная квартира · 62 м² · 4/4 этаж,30000000,Алматы,,1970.0,3,62.0,4.0,23 нояб.,1047
3-комнатная квартира · 70.3 м² · 1/2 этаж,31000000,Алматы,,1971.0,3,70.3,1.0,23 нояб.,863
1-комнатная квартира · 44 м² · 5/9 этаж,29900000,Алматы,,2023.0,1,44.0,5.0,23 нояб.,357
2-комнатная квартира · 62 м² · 9/12 этаж,50500000,Алматы,,2022.0,2,62.0,9.0,23 нояб.,1433
3-комнатная квартира · 76 м² · 9/20 этаж,76500000,Алматы,,2023.0,3,76.0,9.0,23 нояб.,579
1-комнатная квартира · 40 м² · 3/5 этаж,23500000,Алматы,,1987.0,1,40.0,3.0,23 нояб.,4266
2-комнатная квартира · 76 м² · 1/5 этаж,29000000,Алматы,,2024.0,2,76.0,1.0,23 нояб.,210
4-комнатная квартира · 165.9 м² · 4/8 этаж,149999995,Алматы,,2024.0,4,165.9,4.0,23 нояб.,90
2-комнатная квартира · 50 м² · 2/5 этаж,33000000,Алматы,,2023.0,2,50.0,2.0,23 нояб.,138
3-комнатная квартира · 138 м² · 8/16 этаж,52999999,Алматы,,2012.0,3,138.0,8.0,23 нояб.,81
1-комнатная квартира · 40.3 м² · 4/11 этаж,58500000,Алматы,,2022.0,1,40.3,4.0,23 нояб.,0
2-комнатная квартира · 65 м² · 14/16 этаж,48000000,Алматы,,2013.0,2,65.0,14.0,23 нояб.,1282
1-комнатная квартира · 54 м² · 8/8 этаж,27000000,Алматы,,2009.0,1,54.0,8.0,23 нояб.,210
1-комнатная квартира · 43.31 м²,22304650,Алматы,,2025.0,1,43.31,,23 нояб.,4563
1-комнатная квартира · 42.1 м² · 3/17 этаж,33000000,Алматы,,2013.0,1,42.1,3.0,23 нояб.,57
2-комнатная квартира · 62.7 м² · 5/8 этаж,25000000,Алматы,,2024.0,2,62.7,5.0,23 нояб.,4
1-комнатная квартира · 37 м² · 3/13 этаж,24000000,Алматы,,2023.0,1,37.0,3.0,23 нояб.,81
2-комнатная квартира · 66.2 м² · 8/9 этаж,35000000,Алматы,,2010.0,2,66.2,8.0,23 нояб.,53
1-комнатная квартира · 35 м² · 6/6 этаж,20000000,Алматы,,2010.0,1,35.0,6.0,23 нояб.,76
2-комнатная квартира · 57 м² · 9/10 этаж,30999999,Алматы,,2021.0,2,57.0,9.0,23 нояб.,202
2-комнатная квартира · 60 м² · 5/5 этаж,41000000,Алматы,,1985.0,2,60.0,5.0,23 нояб.,226
3-комнатная квартира · 51 м² · 10/10 этаж,31500000,Алматы,,2021.0,3,51.0,10.0,23 нояб.,2
3-комнатная квартира · 114 м² · 8/12 этаж,126000000,Алматы,,2024.0,3,114.0,8.0,23 нояб.,174
2-комнатная квартира · 47 м² · 1/2 этаж,21000000,Алматы,,1958.0,2,47.0,1.0,23 нояб.,294
3-комнатная квартира · 100 м² · 14/17 этаж,67000000,Алматы,,2024.0,3,100.0,14.0,23 нояб.,243
3-комнатная квартира · 105.1 м² · 8/12 этаж,100000000,Алматы,Бостандыкский,2020.0,3,105.1,8.0,23 нояб.,120
2-комнатная квартира · 60.8 м² · 5/12 этаж,56000000,Алматы,,2020.0,2,60.8,5.0,23 нояб.,264
4-комнатная квартира · 80 м² · 1/1 этаж,25000000,Алматы,,1984.0,4,80.0,1.0,23 нояб.,2
3-комнатная квартира · 76.5 м² · 2/4 этаж,61200000,Алматы,,2021.0,3,76.5,2.0,23 нояб.,240
3-комнатная квартира · 72 м² · 3/3 этаж,61000000,Алматы,,2022.0,3,72.0,3.0,23 нояб.,46
3-комнатная квартира · 104.6 м² · 5/6 этаж,59000000,Алматы,,2000.0,3,104.6,5.0,23 нояб.,144
3-комнатная квартира · 114.45 м²,95680200,Алматы,Бостандыкский,2025.0,3,114.45,,24 нояб.,3784
1-комнатная квартира · 46.4 м²,65000000,Алматы,,2023.0,1,46.4,,24 нояб.,48135
4-комнатная квартира · 144 м² · 17/21 этаж,92000000,Алматы,Алмалинский,2012.0,4,144.0,17.0,23 нояб.,196
3-комнатная квартира · 66.4 м² · 1/3 этаж,36000000,Алматы,,1987.0,3,66.4,1.0,23 нояб.,198
2-комнатная квартира · 93 м² · 15 этаж,94999999,Алматы,Бостандыкский,2010.0,2,93.0,15.0,24 нояб.,73
3-комнатная квартира · 80 м² · 7/8 этаж,52000000,Алматы,Алмалинский,1989.0,3,80.0,7.0,23 нояб.,116
2-комнатная квартира · 46.5 м² · 2/4 этаж,26000000,Алматы,,1964.0,2,46.5,2.0,23 нояб.,2973
4-комнатная квартира · 142 м² · 6/12 этаж,156000000,Алматы,,2023.0,4,142.0,6.0,23 нояб.,6101
2-комнатная квартира · 55 м² · 2/18 этаж,40000000,Алматы,,2015.0,2,55.0,2.0,23 нояб.,915
3-комнатная квартира · 113 м² · 15/21 этаж,107000000,Алматы,Бостандыкский,2021.0,3,113.0,15.0,24 нояб.,701
2-комнатная квартира · 63 м² · 5/5 этаж,47000000,Алматы,,1969.0,2,63.0,5.0,23 нояб.,1004
1-комнатная квартира · 52.2 м²,29232000,Алматы,,2023.0,1,52.2,,24 нояб.,14734
4-комнатная квартира · 149.2 м² · 3/8 этаж,210000000,Алматы,,2015.0,4,149.2,3.0,23 нояб.,4699
2-комнатная квартира · 60 м² · 10/12 этаж,32500000,Алматы,,2019.0,2,60.0,10.0,23 нояб.,547
4-комнатная квартира · 103 м² · 10/20 этаж,76000000,Алматы,,2022.0,4,103.0,10.0,23 нояб.,83
2-комнатная квартира · 46.6 м² · 2/3 этаж,36000000,Алматы,,2024.0,2,46.6,2.0,23 нояб.,33
4-комнатная квартира · 116 м² · 5/5 этаж,81900000,Алматы,,1979.0,4,116.0,5.0,23 нояб.,100
2-комнатная квартира · 49.8 м² · 5/5 этаж,33500000,Алматы,,1994.0,2,49.8,5.0,23 нояб.,27
2-комнатная квартира · 70 м² · 4/9 этаж,37500000,Алматы,Алатауский,2015.0,2,70.0,4.0,23 нояб.,3
3-комнатная квартира · 65.9 м² · 8/18 этаж,53500000,Алматы,Ауэзовский,2023.0,3,65.9,8.0,23 нояб.,2
3-комнатная квартира · 74.4 м² · 5/9 этаж,58000000,Алматы,,1980.0,3,74.4,5.0,23 нояб.,98
